Reservoir,Max_Capacity_TAF,Initial_Storage_TAF,Final_Storage_TAF,Mean_Storage_TAF,Min_Storage_TAF,Max_Storage_TAF,Storage_Range_TAF,Mean_Storage_Percent,Min_Storage_Percent,Max_Storage_Percent,Days_Empty,Days_Full,Constraint_Violations,Mean_Daily_Change_TAF,Total_Inflow_TAF,Total_Outflow_TAF
BER,1602.0,1121.3999999999999,1602.0,1524.8775894482774,1112.9067768738055,1602.0,489.0932231261945,95.18586700675888,69.46983625928873,100.0,0,1715,1715,0.27966308115476907,2314.421153127308,1701.9590053983638
CLE,525.0,367.5,525.0,514.9003976021418,302.4421488698882,525.0,222.55785113011183,98.07626620993176,57.60802835616917,100.0,0,2068,2068,0.20615147706708303,6632.344451641049,6180.872716864137
DNP,2030.0,1421.0,1763.4601647125498,1983.6549144668488,1406.966942172392,2030.0,623.033057827608,97.71699086043591,69.30871636317202,100.0,0,1899,1899,0.15560013559215255,11298.319319816606,10957.55502286979
EXC,1024.6,717.2199999999999,805.4804957191325,992.3299356127037,693.965785163127,1024.6,330.63421483687296,96.85047195126914,67.73041041998117,100.0,0,1609,1609,0.040336918306350854,6326.697510006998,6238.35965891609
FOL,977.0,683.9,938.0957020512723,954.2796376549618,648.2748760930504,977.0,328.72512390694965,97.6744767302929,66.35362088976974,100.0,0,1722,1722,0.1155919844085356,19005.238976259643,18752.092530404945
NML,2400.0,1680.0,2400.0,2296.5292008589213,1678.0522314082384,2400.0,721.9477685917616,95.68871670245505,69.91884297534327,100.0,0,1709,1709,0.3999936594645292,7537.2753592080535,6661.289244980736
ORO,3537.6,2476.3199999999997,2493.885619805135,3215.3459305237657,2332.415206853906,3537.6,1205.1847931460939,90.89060183524893,65.93213497438676,100.0,0,1014,1014,0.008350503778534054,25065.746734648787,25047.4591313738
PNF,1000.0,700.0,849.1451237157778,936.8919722719739,698.6056198370591,1000.0,301.39438016294093,93.6891972271974,69.8605619837059,100.0,0,1277,1277,0.06793705411405537,10616.22345319666,10467.44130468688
SHA,4552.0,3186.3999999999996,3235.9629751231464,4349.315710159148,2916.1520665708,4552.0,1635.8479334292,95.54735742880379,64.06309460832162,100.0,0,1416,1416,0.019320276204303835,31723.872343271214,31681.560938383787
