Reservoir,Avg_3day_peak_%_change,Avg_31day_low_%_change,Avg_3day_timing_shift_days,Avg_31day_timing_shift_days,Avg_RBI_difference,Num_water_years
FOL,-28.72191491060575,61.785977224543835,25.833333333333332,48.166666666666664,-0.11036168549085267,6
NML,-10.441290697383865,-47.79144033711841,71.66666666666667,63.5,0.011529937376737534,6
DNP,-12.498191755082113,-10.67325830903306,75.83333333333333,58.833333333333336,-0.22095835961349408,6
PNF,-14.935536135751414,-67.26834469249252,42.5,42.5,-0.09381081295747766,6
CLE,-24.83557864833064,2228.1046726245954,75.33333333333333,96.83333333333333,-0.13625878304452724,6
SHA,-36.09081195670769,-2.880546354483995,70.83333333333333,-26.333333333333332,-0.13313896441904438,6
EXC,-46.5231404700827,330.5721375946019,76.16666666666667,89.0,-0.09176358919936284,6
ORO,-26.341601860814364,0.7560522572505963,39.666666666666664,22.0,-0.11203947284565087,6
BER,-68.7190071702975,388.47926662548235,45.0,120.33333333333333,-0.871403252559376,6
